trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
22,True,"{'a': 0.5, 'e': 0.031597952610481664}",25,18,0.41154097376869814,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,True,"{'a': 0.5, 'e': 0.03096599355827203}",20,6,27.277752165827273,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0.5, 'e': 0.030346673687106588}",20,15,10.855319122469668,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.5, 'e': 0.029739740213364455}",25,18,13.388621347558882,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0.5, 'e': 0.029144945409097164}",25,18,11.741768461449308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0.5, 'e': 0.02856204650091522}",25,14,20.875243827487804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0.5, 'e': 0.027990805570896914}",30,13,30.688956671534584,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0.5, 'e': 0.027430989459478975}",20,15,7.68771759173333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0.5, 'e': 0.026882369670289397}",25,19,11.480125222487608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0.5, 'e': 0.026344722276883607}",30,10,38.03308825881447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0.5, 'e': 0.025817827831345935}",20,10,17.656566439959697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0.5, 'e': 0.025301471274719014}",25,9,25.97807527840998,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0.5, 'e': 0.024795441849224633}",20,9,18.854032228076804,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0.5, 'e': 0.02429953301224014}",35,19,23.02048105824137,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0.5, 'e': 0.02381354235199534}",20,14,7.989408231665632,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0.5, 'e': 0.02333727150495543}",30,18,12.955643339104853,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,True,"{'a': 0.5, 'e': 0.02287052607485632}",25,13,26.089028896279185,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0.5, 'e': 0.022413115553359196}",30,15,-14.292613336826122,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
40,True,"{'a': 0.5, 'e': 0.021964853242292012}",20,7,24.65715002089322,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
